availability_id,tutor_id,day_of_week,start_time,end_time,is_recurring,slot_status,effective_date,end_date
AVL_37,2701634,Sunday,13:00:00,16:00:00,True,available,2025-01-01,2025-12-31
AVL_38,2701634,Tuesday,08:00:00,10:00:00,True,available,2025-01-01,2025-12-31
AVL_39,2701634,Tuesday,12:00:00,15:00:00,True,available,2025-01-01,2025-12-31
AVL_40,2701634,Wednesday,18:00:00,20:00:00,True,available,2025-01-01,2025-12-31
AVL_41,2701634,Thursday,17:00:00,19:00:00,True,available,2025-01-01,2025-12-31
AVL_42,2701634,Friday,11:00:00,12:00:00,True,available,2025-01-01,2025-12-31
AVL_43,2750869,Wednesday,12:00:00,14:00:00,True,available,2025-01-01,2025-12-31
AVL_44,2750869,Wednesday,12:00:00,14:00:00,True,available,2025-01-01,2025-12-31
AVL_45,2750869,Wednesday,10:00:00,12:00:00,True,available,2025-01-01,2025-12-31
AVL_46,2750869,Tuesday,08:00:00,11:00:00,True,available,2025-01-01,2025-12-31
AVL_47,2750869,Monday,12:00:00,14:00:00,True,available,2025-01-01,2025-12-31
AVL_48,2750869,Thursday,13:00:00,16:00:00,True,available,2025-01-01,2025-12-31
AVL_49,3534553,Friday,12:00:00,14:00:00,True,available,2025-01-01,2025-12-31
AVL_50,3534553,Saturday,14:00:00,16:00:00,True,available,2025-01-01,2025-12-31
AVL_51,3534553,Tuesday,09:00:00,11:00:00,True,available,2025-01-01,2025-12-31
AVL_52,3534553,Friday,12:00:00,13:00:00,True,available,2025-01-01,2025-12-31
AVL_53,3534553,Tuesday,10:00:00,12:00:00,True,available,2025-01-01,2025-12-31
AVL_54,4146623,Tuesday,15:00:00,16:00:00,True,available,2025-01-01,2025-12-31
AVL_55,4146623,Thursday,16:00:00,19:00:00,True,available,2025-01-01,2025-12-31
AVL_56,4146623,Sunday,17:00:00,20:00:00,True,available,2025-01-01,2025-12-31
AVL_57,4146623,Sunday,15:00:00,17:00:00,True,available,2025-01-01,2025-12-31
AVL_58,4146623,Sunday,15:00:00,17:00:00,True,available,2025-01-01,2025-12-31
AVL_59,4146623,Monday,09:00:00,11:00:00,True,available,2025-01-01,2025-12-31
AVL_60,4146623,Monday,08:00:00,10:00:00,True,available,2025-01-01,2025-12-31
AVL_61,4146623,Wednesday,15:00:00,17:00:00,True,available,2025-01-01,2025-12-31
AVL_62,4146623,Tuesday,16:00:00,19:00:00,True,available,2025-01-01,2025-12-31
AVL_63,4146623,Friday,09:00:00,12:00:00,True,available,2025-01-01,2025-12-31
AVL_64,6362733,Saturday,08:00:00,10:00:00,True,available,2025-01-01,2025-12-31
AVL_65,6362733,Wednesday,16:00:00,18:00:00,True,available,2025-01-01,2025-12-31
AVL_66,6362733,Wednesday,11:00:00,13:00:00,True,available,2025-01-01,2025-12-31
AVL_67,6362733,Friday,11:00:00,14:00:00,True,available,2025-01-01,2025-12-31
AVL_68,6362733,Wednesday,11:00:00,13:00:00,True,available,2025-01-01,2025-12-31
AVL_69,6362733,Friday,14:00:00,17:00:00,True,available,2025-01-01,2025-12-31
AVL_70,6362733,Wednesday,10:00:00,12:00:00,True,available,2025-01-01,2025-12-31
AVL_71,6362733,Friday,08:00:00,10:00:00,True,available,2025-01-01,2025-12-31
AVL_72,6362733,Sunday,11:00:00,13:00:00,True,available,2025-01-01,2025-12-31
AVL_73,6403246,Tuesday,11:00:00,13:00:00,True,available,2025-01-01,2025-12-31
AVL_74,6403246,Monday,08:00:00,11:00:00,True,available,2025-01-01,2025-12-31
AVL_75,6403246,Monday,10:00:00,13:00:00,True,available,2025-01-01,2025-12-31
AVL_76,6403246,Sunday,17:00:00,19:00:00,True,available,2025-01-01,2025-12-31
AVL_77,6403246,Wednesday,14:00:00,17:00:00,True,available,2025-01-01,2025-12-31
AVL_78,6403246,Saturday,14:00:00,17:00:00,True,available,2025-01-01,2025-12-31
AVL_79,6474141,Thursday,16:00:00,19:00:00,True,available,2025-01-01,2025-12-31
AVL_80,6474141,Saturday,10:00:00,12:00:00,True,available,2025-01-01,2025-12-31
AVL_81,6474141,Thursday,17:00:00,19:00:00,True,available,2025-01-01,2025-12-31
AVL_82,6474141,Tuesday,12:00:00,15:00:00,True,available,2025-01-01,2025-12-31
AVL_83,6664205,Monday,08:00:00,10:00:00,True,available,2025-01-01,2025-12-31
AVL_84,6664205,Friday,17:00:00,20:00:00,True,available,2025-01-01,2025-12-31
AVL_85,6664205,Monday,17:00:00,19:00:00,True,available,2025-01-01,2025-12-31
AVL_86,6664205,Saturday,15:00:00,16:00:00,True,available,2025-01-01,2025-12-31
AVL_87,6664205,Friday,10:00:00,12:00:00,True,available,2025-01-01,2025-12-31
AVL_88,6887917,Sunday,10:00:00,11:00:00,True,available,2025-01-01,2025-12-31
AVL_89,6887917,Tuesday,13:00:00,15:00:00,True,available,2025-01-01,2025-12-31
AVL_90,6887917,Saturday,10:00:00,12:00:00,True,available,2025-01-01,2025-12-31
AVL_91,7134699,Tuesday,09:00:00,12:00:00,True,available,2025-01-01,2025-12-31
AVL_92,7134699,Wednesday,13:00:00,15:00:00,True,available,2025-01-01,2025-12-31
AVL_93,7134699,Thursday,14:00:00,17:00:00,True,available,2025-01-01,2025-12-31
AVL_94,7264805,Thursday,16:00:00,19:00:00,True,available,2025-01-01,2025-12-31
AVL_95,7264805,Sunday,15:00:00,17:00:00,True,available,2025-01-01,2025-12-31
AVL_96,7264805,Tuesday,12:00:00,15:00:00,True,available,2025-01-01,2025-12-31
AVL_97,7264805,Thursday,16:00:00,18:00:00,True,available,2025-01-01,2025-12-31
AVL_98,7644166,Sunday,08:00:00,11:00:00,True,available,2025-01-01,2025-12-31
AVL_99,7644166,Monday,13:00:00,15:00:00,True,available,2025-01-01,2025-12-31
AVL_100,7644166,Tuesday,14:00:00,17:00:00,True,available,2025-01-01,2025-12-31
AVL_101,7644166,Tuesday,15:00:00,18:00:00,True,available,2025-01-01,2025-12-31
AVL_102,7644166,Wednesday,12:00:00,14:00:00,True,available,2025-01-01,2025-12-31
AVL_103,7644166,Friday,16:00:00,17:00:00,True,available,2025-01-01,2025-12-31
AVL_104,7644166,Wednesday,10:00:00,12:00:00,True,available,2025-01-01,2025-12-31
AVL_105,7644166,Wednesday,17:00:00,20:00:00,True,available,2025-01-01,2025-12-31
AVL_106,7644166,Saturday,13:00:00,15:00:00,True,available,2025-01-01,2025-12-31
AVL_107,7644166,Monday,14:00:00,17:00:00,True,available,2025-01-01,2025-12-31
AVL_108,7916493,Tuesday,12:00:00,13:00:00,True,available,2025-01-01,2025-12-31
AVL_109,7916493,Tuesday,09:00:00,12:00:00,True,available,2025-01-01,2025-12-31
AVL_110,7916493,Tuesday,12:00:00,14:00:00,True,available,2025-01-01,2025-12-31
AVL_111,8853681,Thursday,17:00:00,19:00:00,True,available,2025-01-01,2025-12-31
AVL_112,8853681,Friday,09:00:00,12:00:00,True,available,2025-01-01,2025-12-31
AVL_113,8853681,Sunday,18:00:00,19:00:00,True,available,2025-01-01,2025-12-31
AVL_114,8853681,Tuesday,10:00:00,12:00:00,True,available,2025-01-01,2025-12-31
AVL_115,8853681,Monday,14:00:00,16:00:00,True,available,2025-01-01,2025-12-31
AVL_116,8853681,Sunday,15:00:00,18:00:00,True,available,2025-01-01,2025-12-31
AVL_117,9323660,Saturday,14:00:00,17:00:00,True,available,2025-01-01,2025-12-31
AVL_118,9323660,Wednesday,16:00:00,18:00:00,True,available,2025-01-01,2025-12-31
